"X","DATE","revenue","media1_S","media2_S","media3_S","competitor_sales","newsletter"
1,2012-08-06,2754371.66666667,167687.6,95463.6666666667,228213.987444138,8125009,19401.65
2,2012-08-13,2584276.66666667,214600.9,0,34258.5735106246,7901549,14791
3,2012-08-20,2547386.66666667,0,3404,127691.261334797,8300197,14544
4,2012-08-27,2875220,625877.3,132600,84014.7203055314,8122883,2800
5,2012-09-03,2215953.33333333,0,0,20687.4781557608,7105985,15478
6,2012-09-10,2569921.66666667,249189.8,239417.333333333,160110.155202057,7097237,13817
7,2012-09-17,2171506.66666667,5152.9,0,108690.36698611,6974368,28817
8,2012-09-24,2464131.66666667,22141.7,176859.666666667,123894.484594755,7452174,19082
9,2012-10-01,2012520,0,0,108690.36698611,6703566,19679
10,2012-10-08,1738911.66666667,0,84329.3333333333,90080.7175523908,5535394,15095
11,2012-10-15,1772306.66666667,123838.7,0,0,5480098,9795
12,2012-10-22,1809058.33333333,0,35726.6666666667,106931.465933599,5872523,10876
13,2012-10-29,1952740,497073.3,18363,43457.9322069274,5822926,19401.65
14,2012-11-05,1507805,0,0,0,5027123,19401.65
15,2012-11-12,1510391.66666667,311672.2,0,72467.8921194176,4561518,583
16,2012-11-19,1588840,0,123795.666666667,0,4996211,8224
17,2012-11-26,1605990,148293.3,0,0,4938630,5311
18,2012-12-03,1356010,0,0,0,4520383,7428
19,2012-12-10,2103936.66666667,0,101845.666666667,194131.452155839,4506918,10025
20,2012-12-17,1120835,0,0,625.119342115275,3738504,9460
21,2012-12-24,1141140,0,0,0,3768926,2964
22,2012-12-31,1166880,83450.5,0,70460.6355991445,3663385,11663
23,2013-01-07,888806.666666667,0,0,0,2960479,6317
24,2013-01-14,898873.333333333,0,93889.3333333333,0,2861890,5408
25,2013-01-21,889373.333333334,0,0,0,2941465,1900
26,2013-01-28,1915375,0,0,110217.923219335,3039148,19401.65
27,2013-02-04,1006845,0,0,0,3292482,19401.65
28,2013-02-11,869198.333333334,0,0,0,2895248,9003
29,2013-02-18,727250,0,0,0,2427455,4305
30,2013-02-25,753730,0,0,0,2516566,7217
31,2013-03-04,999196.666666667,153542.9,0,76594.6754399115,3012353,1983
32,2013-03-11,845843.333333333,0,0,0,2826660,3437
33,2013-03-18,1126016.66666667,75907.6,38763,0,3489775,4147
34,2013-03-25,1140978.33333333,0,0,0,3807127,8479
35,2013-04-01,1242656.66666667,14253.1,35855,106584.448704671,3824504,6348
36,2013-04-08,1293483.33333333,0,0,0,4307032,13762
37,2013-04-15,1484843.33333333,211351.9,0,153060.942473233,4396674,11841
38,2013-04-22,1485698.33333333,0,6058.33333333333,0,4941143,17162
39,2013-04-29,1556608.33333333,214730.1,0,30356.3307500258,4762083,19401.65
40,2013-05-06,1391206.66666667,0,104848,19255.1815540065,4409483,19401.65
41,2013-05-13,2018783.33333333,179933.7,0,0,6065021,2453
42,2013-05-20,2170721.66666667,159463.8,23110.3333333333,1883.90732940523,6512777,3186
43,2013-05-27,2247670,0,0,0,7311071,11247
44,2013-06-03,2192026.66666667,0,191524.666666667,136128.542979335,6652807,15280
45,2013-06-10,1895213.33333333,0,0,0,6168548,2886
